t,y,dy,station_id,ccd
55528.69791540001,14.725585000000004,0.01052,2,2
55528.702515,14.775545000000001,0.01087,2,2
55528.706188,14.745315000000003,0.0107,2,2
55528.7095208,14.755035000000003,0.01081,2,2
55528.714063499996,14.734595,0.01047,2,2
55528.7174739,14.747985000000003,0.01067,2,2
55528.7208576,14.735165000000002,0.01063,2,2
55528.7259579,14.755755000000002,0.01059,2,2
55528.729336000004,14.770855000000003,0.01097,2,2
55528.7327229,14.748955000000002,0.01077,2,2
55528.7374882,14.701255000000002,0.01052,2,2
55528.74089659999,14.734815000000003,0.0107,2,2
55528.74455830001,14.706025000000004,0.01069,2,2
55528.74914269999,14.673465000000002,0.010329999999999999,2,2
55528.752472800006,14.694685000000003,0.01017,2,2
55528.75584219999,14.650155000000002,0.0102,2,2
55528.7592273,14.610315000000002,0.01007,2,2
55528.764136399994,14.572365000000003,0.01015,2,2
55528.767538600005,14.542445,0.00988,2,2
55528.7709109,14.497215000000002,0.00942,2,2
55528.7754744,14.459345,0.00928,2,2
55528.77886900001,14.429325000000002,0.0094,2,2
55528.7825793,14.396805000000002,0.00922,2,2
55528.7871593,14.362055000000002,0.00882,2,2
55528.7905385,14.371065000000003,0.00889,2,2
55528.7939333,14.368495000000001,0.00899,2,2
55528.7986174,14.335945,0.00891,2,2
55528.8023492,14.309075000000004,0.008709999999999999,2,2
55528.805708500004,14.290015000000002,0.008759999999999999,2,2
55528.8102852,14.258845,0.00853,2,2
55528.8136671,14.215065000000003,0.008329999999999999,2,2
55528.81705880001,14.215785000000004,0.00818,2,2
55528.8219166,14.179535000000003,0.00813,2,2
55528.825296899995,14.154435000000003,0.00807,2,2
55528.8286885,14.152955000000002,0.00812,2,2
55528.8331847,14.148965000000002,0.008190000000000001,2,2
55528.8365844,14.138915000000003,0.00807,2,2
55528.84030630001,14.151925000000004,0.00828,2,2
55528.8449221,14.138195000000001,0.00813,2,2
55528.848311099995,14.146875000000003,0.008409999999999999,2,2
55528.8517069,14.173825000000003,0.00837,2,2
55528.85639859999,14.162315000000003,0.0083,2,2
55528.8601171,14.188465000000003,0.00863,2,2
55528.8634768,14.187785000000003,0.00932,2,2
55529.544496200004,14.319825000000003,0.00868,2,2
55529.5478435,14.329135000000004,0.00864,2,2
55529.5511896,14.333305000000001,0.008790000000000001,2,2
55529.5561286,14.347645000000002,0.0088,2,2
55529.55947359999,14.348825000000003,0.00857,2,2
55529.562843499996,14.322185000000003,0.00866,2,2
55529.56736849999,14.355915000000003,0.00869,2,2
55529.5707228,14.355825000000003,0.00857,2,2
55529.5744444,14.374525000000004,0.0086,2,2
55529.579185899995,14.362825000000003,0.00866,2,2
55529.5825545,14.372545,0.00854,2,2
55529.58591059999,14.405235000000003,0.00861,2,2
55529.590602699995,14.420145000000002,0.00894,2,2
55529.5942641,14.402955000000002,0.00877,2,2
55529.5976715,14.401615000000003,0.009009999999999999,2,2
55529.6022352,14.409905000000002,0.00869,2,2
55529.6056025,14.431355000000002,0.00875,2,2
55529.6089612,14.422035000000003,0.00869,2,2
55529.613988100005,14.431405000000002,0.0089,2,2
55529.617363100006,14.431335000000004,0.00873,2,2
55529.6207293,14.433835000000004,0.008790000000000001,2,2
55529.6255864,14.466405000000002,0.00889,2,2
55529.6289648,14.450865000000002,0.00885,2,2
55529.632635,14.434545000000002,0.00866,2,2
55529.637245800004,14.469915000000002,0.00896,2,2
55529.6405908,14.469625000000002,0.00892,2,2
55529.6439592,14.498605000000001,0.00893,2,2
55529.6485895,14.508145,0.00919,2,2
55529.652274,14.477965000000003,0.00907,2,2
55529.6556273,14.507235000000003,0.00912,2,2
55529.6601821,14.495865000000002,0.00916,2,2
55529.663551800004,14.498555000000001,0.009179999999999999,2,2
55529.666913,14.494415000000002,0.00903,2,2
55529.6717827,14.527335000000004,0.00933,2,2
55529.67513840001,14.538465000000002,0.00916,2,2
55529.6785186,14.524985000000004,0.00923,2,2
55529.68297459999,14.525195000000002,0.00922,2,2
55529.686317199994,14.528515000000002,0.00928,2,2
55529.69001109999,14.551955000000001,0.00944,2,2
55529.6947138,14.556855000000002,0.00945,2,2
55529.6980799,14.559895000000001,0.00939,2,2
55529.70141950001,14.576115000000003,0.00946,2,2
55529.70602409999,14.594625000000002,0.00948,2,2
55529.7097258,14.578195000000001,0.00946,2,2
55529.7130962,14.593375000000004,0.00953,2,2
55529.717663100004,14.599325000000004,0.00976,2,2
55529.7210243,14.578905000000002,0.00944,2,2
55529.7243913,14.599145000000002,0.00987,2,2
55529.7291176,14.620295,0.009770000000000001,2,2
55529.73243819999,14.597115000000002,0.00988,2,2
55529.73576209999,14.612965000000003,0.009890000000000001,2,2
55529.740184899994,14.642195000000001,0.009890000000000001,2,2
55529.743541100004,14.601925000000003,0.00981,2,2
55529.747224800005,14.625825000000003,0.01013,2,2
55529.7517541,14.611395000000002,0.01001,2,2
55529.75507590001,14.648375000000003,0.00993,2,2
55529.7584114,14.629085000000003,0.01004,2,2
55529.762963600006,14.649895,0.01024,2,2
55529.766620500006,14.654295000000001,0.010409999999999999,2,2
55529.7699778,14.638915000000003,0.01013,2,2
55529.7745156,14.683175000000004,0.01039,2,2
55529.7778589,14.663825000000003,0.01006,2,2
55529.7812278,14.657235000000004,0.01029,2,2
55529.78604330001,14.691415000000003,0.01039,2,2
55529.7893886,14.670235000000003,0.01047,2,2
55529.7927608,14.673005000000002,0.01035,2,2
55529.7974826,14.660855000000002,0.0104,2,2
55529.8008413,14.676495000000001,0.01055,2,2
55529.80454040001,14.678965000000002,0.011059999999999999,2,2
55529.8091776,14.687895000000001,0.010709999999999999,2,2
55529.8125314,14.684485000000004,0.01067,2,2
55529.81590369999,14.706065000000002,0.01059,2,2
55529.820683599995,14.686765000000003,0.01093,2,2
55529.82440040001,14.688215000000003,0.01068,2,2
55529.82778069999,14.685195000000002,0.0108,2,2
55529.832398399994,14.685665000000002,0.0108,2,2
55529.83575569999,14.669655000000002,0.01102,2,2
55529.839147000006,14.691635000000003,0.01093,2,2
55529.84406059999,14.681205000000002,0.011170000000000001,2,2
55529.847430999995,14.695985000000004,0.011170000000000001,2,2
55529.85078230001,14.741495,0.01144,2,2
55529.85531240001,14.711105000000002,0.01137,2,2
55529.85866319999,14.688795,0.01255,2,2
55529.86236209999,14.731115000000003,0.013069999999999998,2,2
55530.54546259999,14.703045000000001,0.011,2,2
55530.5488322,14.722605000000001,0.01085,2,2
55530.5522143,14.683295000000001,0.01108,2,2
55530.5568916,14.693415000000002,0.01068,2,2
55530.5602615,14.706685000000004,0.011,2,2
55530.5639635,14.704075000000003,0.01053,2,2
55530.56877030001,14.696335000000003,0.01061,2,2
55530.5721284,14.708735000000004,0.010490000000000001,2,2
55530.57550119999,14.730005000000002,0.010759999999999999,2,2
55530.6029135,14.760775000000002,0.01048,2,2
55530.606271599994,14.743585000000003,0.0103,2,2
55530.609630599996,14.752575000000004,0.010579999999999999,2,2
55530.6141712,14.721045000000002,0.01051,2,2
55530.617537800004,14.761395000000002,0.01045,2,2
55530.6211768,14.735045000000001,0.01034,2,2
55530.6257106,14.714105000000002,0.01042,2,2
55530.629101900005,14.713495000000002,0.01028,2,2
55530.6324498,14.730395000000001,0.010459999999999999,2,2
55530.637131300005,14.672605000000003,0.0104,2,2
55530.640813100006,14.677015000000003,0.009940000000000001,2,2
55530.64419019999,14.636725000000004,0.00976,2,2
55530.6486625,14.594465000000003,0.0099,2,2
55530.6520301,14.578165000000002,0.009640000000000001,2,2
55530.6553865,14.545095000000002,0.00945,2,2
55530.66021919999,14.491775000000002,0.00936,2,2
55530.6635989,14.439025000000003,0.00897,2,2
55530.6669671,14.437195000000001,0.00895,2,2
55530.67139140001,14.374585000000003,0.008620000000000001,2,2
55530.6747364,14.373075000000004,0.0088,2,2
55530.678449800005,14.353935000000003,0.008490000000000001,2,2
55530.682990400004,14.324195000000001,0.008409999999999999,2,2
55530.6863209,14.343635000000004,0.00853,2,2
55530.689690900006,14.309375000000003,0.00837,2,2
55530.694207700006,14.267645000000002,0.00799,2,2
55530.697840999994,14.235955000000002,0.00796,2,2
55530.701195300004,14.221465000000002,0.00784,2,2
55530.7092706,14.180135000000003,0.0077599999999999995,2,2
55530.71264,14.149605000000001,0.00761,2,2
55530.7175066,14.146495000000002,0.0076,2,2
55530.720839300004,14.119755000000001,0.00746,2,2
55530.724195300005,14.122955000000001,0.00748,2,2
